subject,predicate,name_predicate,value_predicate,object
default of credit card clients_x6,propertyValue,,30000.0,n_tuples
default of credit card clients_x6,propertyValue,,0.5011875,missing_perc
default of credit card clients_x6,propertyValue,,0.0007,uniqueness
default of credit card clients_x6,propertyValue,,-2.0,min
default of credit card clients_x6,propertyValue,,8.0,max
default of credit card clients_x6,propertyValue,,-0.014475,mean
default of credit card clients_x6,propertyValue,,0.0,median
default of credit card clients_x6,propertyValue,,1.1234,std
default of credit card clients_x6,propertyValue,,0.7370749999999999,skewness
default of credit card clients_x6,propertyValue,,2.801425,kurtosis
default of credit card clients_x6,propertyValue,,1.0,mad
default of credit card clients_x6,propertyValue,,1.0,iqr
default of credit card clients_x6,propertyValue,,0.0576875,p_min
default of credit card clients_x6,propertyValue,,0.6708125,p_max
default of credit card clients_x6,propertyValue,,0.0235249999999999,k_min
default of credit card clients_x6,propertyValue,,0.6009,k_max
default of credit card clients_x6,propertyValue,,0.0292749999999999,s_min
default of credit card clients_x6,propertyValue,,0.6255125,s_max
default of credit card clients_x6,propertyValue,,1.43675,entropy
default of credit card clients_x6,propertyValue,,0.905425,density
default of credit card clients_x6,propertyValue,,30000.0,n_tuples
default of credit card clients_x6,propertyValue,,0.4501875,missing_perc
default of credit card clients_x6,propertyValue,,0.0007,uniqueness
default of credit card clients_x6,propertyValue,,-2.0,min
default of credit card clients_x6,propertyValue,,8.0,max
default of credit card clients_x6,propertyValue,,-0.0197,mean
default of credit card clients_x6,propertyValue,,0.0,median
default of credit card clients_x6,propertyValue,,1.1236624999999998,std
default of credit card clients_x6,propertyValue,,0.7339625,skewness
default of credit card clients_x6,propertyValue,,2.7028875,kurtosis
default of credit card clients_x6,propertyValue,,1.0,mad
default of credit card clients_x6,propertyValue,,1.0,iqr
default of credit card clients_x6,propertyValue,,0.06025,p_min
default of credit card clients_x6,propertyValue,,0.671975,p_max
default of credit card clients_x6,propertyValue,,0.022875,k_min
default of credit card clients_x6,propertyValue,,0.6036874999999999,k_max
default of credit card clients_x6,propertyValue,,0.0284625,s_min
default of credit card clients_x6,propertyValue,,0.6280499999999999,s_max
default of credit card clients_x6,propertyValue,,1.4373875,entropy
default of credit card clients_x6,propertyValue,,0.9048125,density
default of credit card clients_x6,propertyValue,,30000.0,n_tuples
default of credit card clients_x6,propertyValue,,0.399875,missing_perc
default of credit card clients_x6,propertyValue,,0.0006,uniqueness
default of credit card clients_x6,propertyValue,,-2.0,min
default of credit card clients_x6,propertyValue,,8.0,max
default of credit card clients_x6,propertyValue,,-0.01585,mean
default of credit card clients_x6,propertyValue,,0.0,median
default of credit card clients_x6,propertyValue,,1.126575,std
default of credit card clients_x6,propertyValue,,0.761925,skewness
default of credit card clients_x6,propertyValue,,2.9453875,kurtosis
default of credit card clients_x6,propertyValue,,1.0,mad
default of credit card clients_x6,propertyValue,,1.0,iqr
default of credit card clients_x6,propertyValue,,0.056475,p_min
default of credit card clients_x6,propertyValue,,0.6718124999999999,p_max
default of credit card clients_x6,propertyValue,,0.0210875,k_min
default of credit card clients_x6,propertyValue,,0.6008000000000001,k_max
default of credit card clients_x6,propertyValue,,0.0262125,s_min
default of credit card clients_x6,propertyValue,,0.6251625000000001,s_max
default of credit card clients_x6,propertyValue,,1.4371625,entropy
default of credit card clients_x6,propertyValue,,0.9049,density
default of credit card clients_x6,propertyValue,,30000.0,n_tuples
default of credit card clients_x6,propertyValue,,0.351225,missing_perc
default of credit card clients_x6,propertyValue,,0.0006,uniqueness
default of credit card clients_x6,propertyValue,,-2.0,min
default of credit card clients_x6,propertyValue,,8.0,max
default of credit card clients_x6,propertyValue,,-0.015175,mean
default of credit card clients_x6,propertyValue,,0.0,median
default of credit card clients_x6,propertyValue,,1.1237874999999995,std
default of credit card clients_x6,propertyValue,,0.7327125,skewness
default of credit card clients_x6,propertyValue,,2.7346625,kurtosis
default of credit card clients_x6,propertyValue,,1.0,mad
default of credit card clients_x6,propertyValue,,1.0,iqr
default of credit card clients_x6,propertyValue,,0.0584,p_min
default of credit card clients_x6,propertyValue,,0.6712750000000001,p_max
default of credit card clients_x6,propertyValue,,0.0230124999999999,k_min
default of credit card clients_x6,propertyValue,,0.6012124999999999,k_max
default of credit card clients_x6,propertyValue,,0.02855,s_min
default of credit card clients_x6,propertyValue,,0.6260125,s_max
default of credit card clients_x6,propertyValue,,1.436475,entropy
default of credit card clients_x6,propertyValue,,0.9048375000000002,density
default of credit card clients_x6,propertyValue,,30000.0,n_tuples
default of credit card clients_x6,propertyValue,,0.2984874999999999,missing_perc
default of credit card clients_x6,propertyValue,,0.0005,uniqueness
default of credit card clients_x6,propertyValue,,-2.0,min
default of credit card clients_x6,propertyValue,,8.0,max
default of credit card clients_x6,propertyValue,,-0.0149,mean
default of credit card clients_x6,propertyValue,,0.0,median
default of credit card clients_x6,propertyValue,,1.1255375,std
default of credit card clients_x6,propertyValue,,0.75055,skewness
default of credit card clients_x6,propertyValue,,2.8236625,kurtosis
default of credit card clients_x6,propertyValue,,1.0,mad
default of credit card clients_x6,propertyValue,,1.0,iqr
default of credit card clients_x6,propertyValue,,0.0574249999999999,p_min
default of credit card clients_x6,propertyValue,,0.6726749999999999,p_max
default of credit card clients_x6,propertyValue,,0.0222625,k_min
default of credit card clients_x6,propertyValue,,0.6017625,k_max
default of credit card clients_x6,propertyValue,,0.0276624999999999,s_min
default of credit card clients_x6,propertyValue,,0.6262,s_max
default of credit card clients_x6,propertyValue,,1.4369875,entropy
default of credit card clients_x6,propertyValue,,0.904375,density
default of credit card clients_x6,propertyValue,,30000.0,n_tuples
default of credit card clients_x6,propertyValue,,0.2502625,missing_perc
default of credit card clients_x6,propertyValue,,0.0005,uniqueness
default of credit card clients_x6,propertyValue,,-2.0,min
default of credit card clients_x6,propertyValue,,8.0,max
default of credit card clients_x6,propertyValue,,-0.0164125,mean
default of credit card clients_x6,propertyValue,,0.0,median
default of credit card clients_x6,propertyValue,,1.12495,std
default of credit card clients_x6,propertyValue,,0.7372500000000001,skewness
default of credit card clients_x6,propertyValue,,2.7598375,kurtosis
default of credit card clients_x6,propertyValue,,1.0,mad
default of credit card clients_x6,propertyValue,,1.0,iqr
default of credit card clients_x6,propertyValue,,0.0581625,p_min
default of credit card clients_x6,propertyValue,,0.67185,p_max
default of credit card clients_x6,propertyValue,,0.0214,k_min
default of credit card clients_x6,propertyValue,,0.60195,k_max
default of credit card clients_x6,propertyValue,,0.026525,s_min
default of credit card clients_x6,propertyValue,,0.6263375,s_max
default of credit card clients_x6,propertyValue,,1.4375875,entropy
default of credit card clients_x6,propertyValue,,0.9042625,density
default of credit card clients_x6,propertyValue,,30000.0,n_tuples
default of credit card clients_x6,propertyValue,,0.2006875,missing_perc
default of credit card clients_x6,propertyValue,,0.0005,uniqueness
default of credit card clients_x6,propertyValue,,-2.0,min
default of credit card clients_x6,propertyValue,,8.0,max
default of credit card clients_x6,propertyValue,,-0.018025,mean
default of credit card clients_x6,propertyValue,,0.0,median
default of credit card clients_x6,propertyValue,,1.1211875,std
default of credit card clients_x6,propertyValue,,0.717275,skewness
default of credit card clients_x6,propertyValue,,2.6331125,kurtosis
