data_object,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density
default of credit card clients_x6,30000.0,0.5011875,0.0007,-2.0,8.0,-0.014475,0.0,1.1234,0.7370749999999999,2.801425,1.0,1.0,0.0576875,0.6708125,0.0235249999999999,0.6009,0.0292749999999999,0.6255125,1.43675,0.905425
default of credit card clients_x6,30000.0,0.4501875,0.0007,-2.0,8.0,-0.0197,0.0,1.1236624999999998,0.7339625,2.7028875,1.0,1.0,0.06025,0.671975,0.022875,0.6036874999999999,0.0284625,0.6280499999999999,1.4373875,0.9048125
default of credit card clients_x6,30000.0,0.399875,0.0006,-2.0,8.0,-0.01585,0.0,1.126575,0.761925,2.9453875,1.0,1.0,0.056475,0.6718124999999999,0.0210875,0.6008000000000001,0.0262125,0.6251625000000001,1.4371625,0.9049
default of credit card clients_x6,30000.0,0.351225,0.0006,-2.0,8.0,-0.015175,0.0,1.1237874999999995,0.7327125,2.7346625,1.0,1.0,0.0584,0.6712750000000001,0.0230124999999999,0.6012124999999999,0.02855,0.6260125,1.436475,0.9048375000000002
default of credit card clients_x6,30000.0,0.2984874999999999,0.0005,-2.0,8.0,-0.0149,0.0,1.1255375,0.75055,2.8236625,1.0,1.0,0.0574249999999999,0.6726749999999999,0.0222625,0.6017625,0.0276624999999999,0.6262,1.4369875,0.904375
default of credit card clients_x6,30000.0,0.2502625,0.0005,-2.0,8.0,-0.0164125,0.0,1.12495,0.7372500000000001,2.7598375,1.0,1.0,0.0581625,0.67185,0.0214,0.60195,0.026525,0.6263375,1.4375875,0.9042625
default of credit card clients_x6,30000.0,0.2006875,0.0005,-2.0,8.0,-0.018025,0.0,1.1211875,0.717275,2.6331125,1.0,1.0,0.0578124999999999,0.6698750000000001,0.022175,0.6006374999999999,0.0275374999999999,0.6249125,1.4355375,0.9051375
default of credit card clients_x6,30000.0,0.15,0.0004,-2.0,8.0,-0.01825,0.0,1.1221125,0.7230125000000001,2.67705,1.0,1.0,0.0589125,0.6718000000000001,0.0211,0.6024125,0.0260749999999999,0.6269250000000001,1.435625,0.9044249999999998
default of credit card clients_x6,30000.0,0.099425,0.0004,-2.0,8.0,-0.0167375,0.0,1.1241,0.731525,2.7358125,1.0,1.0,0.0584125,0.672625,0.0219125,0.6027750000000001,0.0271625,0.6271250000000002,1.4368875,0.9051375
default of credit card clients_x6,30000.0,0.0493625,0.0004,-2.0,8.0,-0.0174625,0.0,1.12375,0.7340874999999999,2.7384375,1.0,1.0,0.0579875,0.672625,0.0210374999999999,0.6032375,0.02605,0.6277125,1.4361499999999996,0.9049875
default of credit card clients_x7,30000.0,0.5010625,0.0007,-2.0,7.625,-0.12835,0.0,1.1998625,0.801275,1.6304875,0.0,1.0,0.0365,0.7669,0.0141374999999999,0.7624125,0.01715,0.7984749999999999,1.27755,0.9803625
default of credit card clients_x7,30000.0,0.4498625,0.00065,-2.0,7.5,-0.1367874999999999,0.0,1.1946,0.79165,1.5601375,0.0,1.0,0.0384125,0.7658875000000002,0.015175,0.76345,0.0189125,0.7995125,1.276075,1.0050875
default of credit card clients_x7,30000.0,0.4014375,0.0006,-2.0,7.625,-0.1351125,0.0,1.1964625,0.775625,1.4905750000000002,0.0,1.0,0.0346625,0.7675875000000001,0.0177125,0.7645375,0.021825,0.8007124999999999,1.2774,0.98085
default of credit card clients_x7,30000.0,0.3490375,0.0005499999999999,-2.0,7.5,-0.133675,0.0,1.1961624999999998,0.7956000000000001,1.5941125,0.0,1.0,0.0394625,0.7662374999999999,0.0171249999999999,0.7629125,0.02115,0.799125,1.2760625,1.0060749999999998
default of credit card clients_x7,30000.0,0.298875,0.0005,-2.0,7.875,-0.13105,0.0,1.1983375,0.79545,1.59365,0.0,1.0,0.0363125,0.7660875,0.0136375,0.7626124999999999,0.0166625,0.7987624999999999,1.2781375,0.932825
default of credit card clients_x7,30000.0,0.25085,0.000475,-2.0,7.75,-0.1323375,0.0,1.19715,0.785425,1.5454375,0.0,1.0,0.0358499999999999,0.76545,0.0157374999999999,0.7619250000000001,0.0194249999999999,0.798025,1.2773625,0.9568125
default of credit card clients_x7,30000.0,0.2013749999999999,0.000475,-2.0,7.75,-0.1349375,0.0,1.19645,0.782025,1.5195374999999998,0.0,1.0,0.0356125,0.7670375,0.01665,0.7641625,0.0204375,0.8002875,1.277775,0.95735
default of credit card clients_x7,30000.0,0.1503125,0.0004,-2.0,7.75,-0.134275,0.0,1.1970875,0.7923375,1.580925,0.0,1.0,0.038225,0.76655,0.017075,0.7632875,0.02105,0.7995375,1.2771749999999995,0.9543375
default of credit card clients_x7,30000.0,0.0990875,0.0004,-2.0,7.875,-0.133375,0.0,1.1972875000000005,0.7847999999999999,1.5346125,0.0,1.0,0.03625,0.7652875000000001,0.0161875,0.762375,0.0197625,0.798575,1.277625,0.9329875
default of credit card clients_x7,30000.0,0.0494375,0.0004,-2.0,7.875,-0.1339624999999999,0.0,1.1967875,0.7890625,1.5659625,0.0,1.0,0.0365,0.7665500000000001,0.0175624999999999,0.763375,0.0215625,0.7996,1.276925,0.93305
default of credit card clients_x8,30000.0,0.5005249999999999,0.0007,-2.0,8.0,-0.1665625,0.0,1.196475,0.8629,2.2140375,0.0,1.0,0.0038875,0.778375,0.0239375,0.7662625,0.0334875,0.8018625,1.2646625,0.9815125
default of credit card clients_x8,30000.0,0.4510125,0.0006625,-2.0,7.625,-0.1649499999999999,0.0,1.1966625,0.834625,2.0487375,0.0,1.0,0.0035499999999999,0.7757499999999999,0.0250375,0.766125,0.0345625,0.8018375,1.2648875,0.97315
default of credit card clients_x8,30000.0,0.3982624999999999,0.0006,-2.0,8.0,-0.1657499999999999,0.0,1.2015,0.834625,2.0177750000000003,0.0,1.0,0.0023375,0.778025,0.0263375,0.7659375,0.0363,0.80175,1.2691,0.9069625
default of credit card clients_x8,30000.0,0.3487499999999999,0.0005874999999999,-2.0,7.875,-0.163425,0.0,1.1968125,0.8392625000000001,2.057475,0.0,1.0,0.0016,0.7760125000000001,0.0260625,0.7640499999999999,0.0357749999999999,0.79975,1.265,0.931325
default of credit card clients_x8,30000.0,0.300725,0.0005,-2.0,8.0,-0.1691875,0.0,1.1936875,0.8345624999999999,2.07685,0.0,1.0,0.004275,0.7776374999999999,0.0282375,0.7665624999999999,0.038925,0.8022374999999999,1.2631125,0.9068
default of credit card clients_x8,30000.0,0.249025,0.0005,-2.0,8.0,-0.167425,0.0,1.1971375,0.8419625000000001,2.0995625,0.0,1.0,0.0022624999999999,0.7767125,0.0262375,0.7651249999999999,0.0360375,0.8008000000000001,1.265925,0.907625
default of credit card clients_x8,30000.0,0.1998375,0.0005,-2.0,8.0,-0.1659875,0.0,1.1960375,0.8368875,2.07655,0.0,1.0,0.0015875,0.77685,0.0277125,0.7654,0.0378499999999999,0.8012000000000001,1.2644875,0.9068
default of credit card clients_x8,30000.0,0.1504625,0.0004,-2.0,8.0,-0.1683374999999999,0.0,1.1958875,0.8389125000000001,2.0814000000000004,0.0,1.0,0.00195,0.7777875,0.0290875,0.7666875,0.0396625,0.8021625,1.2651375,0.9076
