data_object,initial_completeness,technique_completeness,ml_algorithm,final_ml_value
default of credit card clients_x6,0.5011875,impute_standard,DecisionTree,0.7824647779864399
default of credit card clients_x6,0.5011875,impute_mean,DecisionTree,0.7824063039878844
default of credit card clients_x6,0.5011875,impute_median,DecisionTree,0.7824329655450888
default of credit card clients_x6,0.5011875,impute_random,DecisionTree,0.7717922552554374
default of credit card clients_x6,0.5011875,impute_knn,DecisionTree,0.7835903044947343
default of credit card clients_x6,0.5011875,impute_mice,DecisionTree,0.7848828860067842
default of credit card clients_x6,0.5011875,impute_linear_regression,DecisionTree,0.7847541337796586
default of credit card clients_x6,0.5011875,impute_random_forest,DecisionTree,0.7853846048479216
default of credit card clients_x6,0.5011875,impute_cmeans,DecisionTree,0.7869624945853457
default of credit card clients_x6,0.5011875,impute_standard,LogisticRegression,0.7420989257689073
default of credit card clients_x6,0.5011875,impute_mean,LogisticRegression,0.7421389509391493
default of credit card clients_x6,0.5011875,impute_median,LogisticRegression,0.7420989257689073
default of credit card clients_x6,0.5011875,impute_random,LogisticRegression,0.7387856200870401
default of credit card clients_x6,0.5011875,impute_knn,LogisticRegression,0.7573110457833332
default of credit card clients_x6,0.5011875,impute_mice,LogisticRegression,0.7530093194465276
default of credit card clients_x6,0.5011875,impute_linear_regression,LogisticRegression,0.7530214382043646
default of credit card clients_x6,0.5011875,impute_random_forest,LogisticRegression,0.7596436416066892
default of credit card clients_x6,0.5011875,impute_cmeans,LogisticRegression,0.7564968964351474
default of credit card clients_x6,0.5011875,impute_standard,KNN,0.7798230767424993
default of credit card clients_x6,0.5011875,impute_mean,KNN,0.7798363016115722
default of credit card clients_x6,0.5011875,impute_median,KNN,0.7798230767424993
default of credit card clients_x6,0.5011875,impute_random,KNN,0.7713040235937139
default of credit card clients_x6,0.5011875,impute_knn,KNN,0.7789372180943109
default of credit card clients_x6,0.5011875,impute_mice,KNN,0.7797442338214966
default of credit card clients_x6,0.5011875,impute_linear_regression,KNN,0.7797057025779892
default of credit card clients_x6,0.5011875,impute_random_forest,KNN,0.7789312776809034
default of credit card clients_x6,0.5011875,impute_cmeans,KNN,0.7794363900236048
